EmployeeKey,EmployeeID,EmployeeName,Role,StoreKey,HireDate,EmploymentStatus
406,EMP10405,Employee 0406,Store Manager,38,2024-04-08,Active
407,EMP10406,Employee 0407,Sales Executive,64,2021-05-24,Active
408,EMP10407,Employee 0408,Sales Executive,98,2021-06-28,Active
409,EMP10408,Employee 0409,Department Lead,38,2018-05-06,Active
410,EMP10409,Employee 0410,Department Lead,50,2018-08-05,Active
411,EMP10410,Employee 0411,Department Lead,98,2021-04-23,Active
412,EMP10411,Employee 0412,Sales Executive,82,2021-05-31,Active
413,EMP10412,Employee 0413,Senior Sales Executive,30,2024-12-17,Active
414,EMP10413,Employee 0414,Senior Sales Executive,79,2024-10-10,Active
415,EMP10414,Employee 0415,Sales Executive,91,2020-07-07,Active
416,EMP10415,Employee 0416,Senior Sales Executive,51,2021-08-10,Active
417,EMP10416,Employee 0417,Store Manager,63,2024-01-08,Active
418,EMP10417,Employee 0418,Sales Executive,98,2024-08-28,Active
419,EMP10418,Employee 0419,Sales Executive,52,2022-07-20,Active
420,EMP10419,Employee 0420,Sales Executive,38,2018-11-04,Active
421,EMP10420,Employee 0421,Store Manager,97,2021-09-21,Active
422,EMP10421,Employee 0422,Sales Executive,88,2023-05-24,Active
423,EMP10422,Employee 0423,Sales Executive,79,2020-06-10,Active
424,EMP10423,Employee 0424,Senior Sales Executive,30,2019-01-10,Active
425,EMP10424,Employee 0425,Store Manager,119,2023-07-27,Active
426,EMP10425,Employee 0426,Sales Executive,106,2021-09-26,Active
427,EMP10426,Employee 0427,Sales Executive,51,2018-05-09,Active
428,EMP10427,Employee 0428,Senior Sales Executive,81,2020-10-11,Active
429,EMP10428,Employee 0429,Sales Executive,5,2022-12-05,Active
430,EMP10429,Employee 0430,Sales Executive,29,2021-10-13,Active
431,EMP10430,Employee 0431,Senior Sales Executive,4,2019-06-01,Active
432,EMP10431,Employee 0432,Sales Executive,10,2022-02-27,Active
433,EMP10432,Employee 0433,Sales Executive,56,2018-03-27,Active
434,EMP10433,Employee 0434,Store Manager,17,2021-04-13,Active
435,EMP10434,Employee 0435,Senior Sales Executive,74,2024-06-16,Active
436,EMP10435,Employee 0436,Store Manager,17,2021-02-16,Active
437,EMP10436,Employee 0437,Senior Sales Executive,84,2024-10-10,Active
438,EMP10437,Employee 0438,Sales Executive,88,2023-06-17,Active
439,EMP10438,Employee 0439,Department Lead,69,2023-12-02,Active
440,EMP10439,Employee 0440,Senior Sales Executive,34,2018-10-30,Active
441,EMP10440,Employee 0441,Department Lead,6,2019-08-11,Active
442,EMP10441,Employee 0442,Sales Executive,53,2020-09-13,Active
443,EMP10442,Employee 0443,Senior Sales Executive,66,2023-02-07,Active
444,EMP10443,Employee 0444,Sales Executive,77,2018-12-11,Active
445,EMP10444,Employee 0445,Sales Executive,107,2020-03-24,Active
446,EMP10445,Employee 0446,Sales Executive,43,2023-06-11,Active
447,EMP10446,Employee 0447,Senior Sales Executive,112,2021-08-03,Active
448,EMP10447,Employee 0448,Department Lead,75,2023-06-23,Active
449,EMP10448,Employee 0449,Senior Sales Executive,115,2022-08-05,Active
450,EMP10449,Employee 0450,Sales Executive,111,2021-08-20,Active
451,EMP10450,Employee 0451,Sales Executive,23,2020-12-28,Active
452,EMP10451,Employee 0452,Senior Sales Executive,55,2024-08-05,Active
453,EMP10452,Employee 0453,Sales Executive,80,2020-10-06,Active
454,EMP10453,Employee 0454,Sales Executive,95,2019-12-05,Active
455,EMP10454,Employee 0455,Sales Executive,75,2019-07-29,Active
456,EMP10455,Employee 0456,Sales Executive,118,2022-05-28,Active
457,EMP10456,Employee 0457,Sales Executive,16,2021-01-17,Active
458,EMP10457,Employee 0458,Sales Executive,8,2019-11-19,Active
459,EMP10458,Employee 0459,Store Manager,4,2019-05-04,Active
460,EMP10459,Employee 0460,Store Manager,104,2021-09-09,Active
461,EMP10460,Employee 0461,Department Lead,4,2019-05-09,Active
462,EMP10461,Employee 0462,Sales Executive,56,2022-07-26,Active
463,EMP10462,Employee 0463,Sales Executive,25,2022-06-26,Active
464,EMP10463,Employee 0464,Sales Executive,67,2018-01-19,Active
465,EMP10464,Employee 0465,Sales Executive,96,2024-09-10,Active
466,EMP10465,Employee 0466,Department Lead,67,2020-09-27,Active
467,EMP10466,Employee 0467,Senior Sales Executive,27,2020-04-30,Active
468,EMP10467,Employee 0468,Store Manager,93,2021-10-20,Active
469,EMP10468,Employee 0469,Sales Executive,32,2021-09-16,Active
470,EMP10469,Employee 0470,Senior Sales Executive,50,2021-09-29,Active
471,EMP10470,Employee 0471,Department Lead,61,2020-04-01,Active
472,EMP10471,Employee 0472,Sales Executive,51,2019-03-31,Active
473,EMP10472,Employee 0473,Sales Executive,19,2022-06-13,Active
474,EMP10473,Employee 0474,Sales Executive,21,2019-12-12,Active
475,EMP10474,Employee 0475,Department Lead,5,2023-12-31,Active
476,EMP10475,Employee 0476,Sales Executive,82,2020-07-05,Active
477,EMP10476,Employee 0477,Department Lead,92,2022-02-05,Active
478,EMP10477,Employee 0478,Sales Executive,42,2021-12-11,Active
479,EMP10478,Employee 0479,Sales Executive,61,2018-11-01,Active
480,EMP10479,Employee 0480,Sales Executive,22,2020-01-06,Active
481,EMP10480,Employee 0481,Sales Executive,21,2024-05-27,Active
482,EMP10481,Employee 0482,Sales Executive,70,2023-05-18,Active
483,EMP10482,Employee 0483,Sales Executive,1,2023-11-20,Active
484,EMP10483,Employee 0484,Sales Executive,5,2023-07-03,Active
485,EMP10484,Employee 0485,Senior Sales Executive,105,2020-08-19,Active
486,EMP10485,Employee 0486,Sales Executive,12,2020-10-23,Active
487,EMP10486,Employee 0487,Store Manager,90,2023-11-03,Active
488,EMP10487,Employee 0488,Department Lead,46,2024-07-03,Active
489,EMP10488,Employee 0489,Senior Sales Executive,34,2022-01-13,Active
490,EMP10489,Employee 0490,Department Lead,49,2024-11-06,Active
491,EMP10490,Employee 0491,Department Lead,78,2023-05-02,Active
492,EMP10491,Employee 0492,Sales Executive,90,2021-03-23,Active
493,EMP10492,Employee 0493,Sales Executive,45,2019-10-27,Active
494,EMP10493,Employee 0494,Senior Sales Executive,27,2018-01-12,Active
495,EMP10494,Employee 0495,Sales Executive,73,2021-03-02,Active
496,EMP10495,Employee 0496,Sales Executive,26,2018-10-31,Active
497,EMP10496,Employee 0497,Senior Sales Executive,47,2022-10-30,Active
498,EMP10497,Employee 0498,Sales Executive,86,2018-02-12,Active
499,EMP10498,Employee 0499,Sales Executive,111,2020-08-01,Active
500,EMP10499,Employee 0500,Sales Executive,56,2024-07-18,Active
